service,category
1ci-smcs,management
2ping,management
3Com-nsd,other
3com-amp3,other
3com-net-mgmt,management
3com-njack-1,other
3com-njack-2,other
3com-tsmux,other
3com-webview,other
3comfaxrpc,printing
3comnetman,management
3d-nfsd,files
3ds-lm,other
3exmp,management
3gpp-cbsp,network
3gpp-monp,media
3gpp-w1ap,network
3l-l1,other
3link,other
3m-image-lm,licensing
3par-evts,management
3par-mgmt,management
3par-mgmt-ssl,management
3par-rcopy,storage
4-tieropmcli,other
4-tieropmgw,other
4talk,other
5afe-dir,discovery
802-11-iapp,network
914c-g,remote
9pfs,files
BESApi,other
BackOrifice,remote
CarbonCopy,other
CardWeb-IO,other
CodeMeter,licensing
DMExpress,other
DragonIDSConsole,security
Elite,other
EtherNetIP-1,industrial
EtherNetIP-2,industrial
IIS,web
IISrpc-or-vat,other
L2TP,vpn
LSA-or-nterm,other
LiebDevMgmt_A,management
LiebDevMgmt_C,management
LiebDevMgmt_DM,management
MOS-aux,media
MOS-lower,media
MOS-soap,media
MOS-soap-opt,media
MOS-upper,media
MaxumSP,other
MobilitySrv,vpn
NFS-or-IIS,other
PS-Capture-Pro,printing
PS-Server,printing
PowerAlert-nsa,management
RDCenter,other
RETS-or-BackupExec,other
SunVTS-RMI,management
Trinoo_Bcast,other
Trinoo_Master,other
Trinoo_Register,other
WibuKey,licensing
X11,remote
X11:1,remote
X11:2,remote
X11:3,remote
X11:4,remote
X11:5,remote
X11:59,remote
X11:6,remote
X11:7,remote
X11:8,remote
X11:9,remote
XmlIpcRegSvc,middleware
a-trust-rpc,identity
a1-bs,network
a1-msc,network
a13-an,network
a14,network
a15,network
a16-an-an,network
a17-an-an,network
a21-an-1xbs,network
a25-fap-fgw,network
a26-fap-fgw,network
a27-ran-ran,management
a3-sdunode,network
a4-sdunode,network
aairnet-1,other
aairnet-2,other
aal-lm,licensing
aamp,security
aap,other
aas,other
abacus-remote,other
abarsd,other
abatemgr,other
abatjss,management
abb-escp,industrial
abb-hw,management
abbaccuray,other
abbs,other
abcsoftware,other
abcvoice-port,media
about,other
abr-api,storage
abr-secure,storage
abyss,management
ac-cluster,other
ac-tech,other
acap,management
acas,other
acc-raid,storage
accel,other
accelenet,other
accelenet-data,other
accessbuilder,other
accessnetwork,other
accord-mgc,other
acctopus-cc,other
acctopus-st,management
accu-lmgr,management
accuracer,database
accuracer-dbms,management
acd-pm,management
ace-client,identity
ace-proxy,other
ace-server,other
ace-svr-prop,other
aci,middleware
acis,other
acl-manager,management
acmaint_dbd,other
acmaint_transd,other
acme,management
acms,management
acmsoda,other
acnet,industrial
acp,other
acp-conduit,management
acp-discovery,discovery
acp-policy,management
acp-port,other
acp-proto,other
acplt,industrial
acptsys,other
acr-nema,other
acronis-backup,storage
acter,other
actifio-c2c,other
actifioreplic,storage
actifioudsagent,other
active-net,other
activememory,other
activesync,other
activesync-notify,other
actnet,other
ada-cip,other
adap,discovery
adapt-sna,other
adaptecmgr,management
adcp,management
adi-gxp-srvprt,other
admd,other
admdog,other
admeng,other
admind,management
admins-lms,other
adobeserver-1,other
adobeserver-2,other
adobeserver-3,other
adobeserver-4,other
adobeserver-5,other
adrep,identity
ads,other
ads-c,other
ads-s,industrial
adtech-test,other
adtempusclient,other
advant-lm,licensing
adws,identity
aed-512,other
aegate,other
aequus,other
aequus-alt,management
aero,network
aeroflight-ads,other
aeroflight-ret,other
aes-discovery,discovery
aes-x170,other
aesop,media
af,media
afesc-mc,other
affiliate,other
afore-vdp-disc,discovery
afp,files
afrog,network
afs,licensing
afs3-bos,management
afs3-callback,files
afs3-errors,files
afs3-fileserver,files
afs3-kaserver,identity
afs3-prserver,identity
afs3-rmtsys,management
afs3-update,files
afs3-vlserver,files
afs3-volser,management
aftmux,other
ag-swim,other
agcat,other
agentsease-db,other
agentview,other
agentx,management
agma,media
agpolicy,other
agps-port,other
agri-gateway,other
agriserver,other
agslb,network
ah-esp-encap,vpn
aiagent,discovery
aibkup,storage
aic-np,other
aic-oncrpc,database
aicc-cmi,other
aigairserver,other
ailith,management
aimpp-hello,other
aimpp-port-req,other
aipn-auth,identity
aipn-reg,other
aironetddp,other
airport-admin,management
airs,other
airshot,other
airsync,other
aises,other
aja-ntv4-disc,discovery
ajp12,middleware
ajp13,middleware
aker-cdp,other
alaris-disc,discovery
alarm,other
alarm-clock-c,other
alarm-clock-s,other
alchemy,other
alesquery,other
alfin,industrial
alias,other
alljoyn,discovery
alljoyn-stm,middleware
allpeers,other
allstorcns,other
almobile-system,other
alpes,management
alpha-sms,chat
alphatech-lm,other
alta-ana-lm,licensing
alta-smp,management
altalink,other
altav-remmgt,other
altav-tunnel,vpn
altbsdp,network
altcp,other
altova-lm,licensing
altovacentral,other
altserviceboot,network
amahi-anywhere,other
amanda,storage
amandaidx,storage
amberon,other
ambit-lm,other
amc,other
amcs,other
amdsched,other
amicon-fpsu-ra,management
amicon-fpsu-s,vpn
amidxtape,storage
amiganetfs,files
aminet,other
amp,other
ampify,middleware
ampl-lic,licensing
ampl-tableproxy,other
ampr-info,other
ampr-inter,other
ampr-rcmd,other
amqp,middleware
amqps,middleware
ams,other
amt,network
amt-blc-port,other
amt-cnf-prot,other
amt-esd-prot,other
amt-redir-tcp,remote
amt-redir-tls,remote
amt-soap-http,management
amt-soap-https,management
amx-axbnet,industrial
amx-icsp,industrial
amx-rms,management
amx-webadmin,management
amx-weblinx,industrial
an-pcp,other
an-signaling,network
analogx,vpn
and-lm,licensing
anet,other
anet-b,other
anet-h,other
anet-l,other
anet-m,other
anoto-rendezv,discovery
ans-console,management
ansanotify,middleware
ansatrader,middleware
ansoft-lm-1,licensing
ansoft-lm-2,licensing
answersoft-lm,other
ansys-lm,licensing
ansysli,licensing
ansyslmd,licensing
anthony-data,other
antidotemgrsvr,management
anynetgateway,other
aocp,other
aodv,network
aol,other
aol-1,other
aol-2,other
aol-3,other
ap,other
apani1,other
apani2,other
apani3,other
apani4,other
apani5,other
apc-2160,management
apc-2161,management
apc-2260,management
apc-3052,management
apc-3506,management
apc-5454,management
apc-5455,management
apc-5456,management
apc-6547,management
apc-6548,management
apc-6549,management
apc-7845,management
apc-7846,management
apc-9950,management
apc-9951,management
apc-9952,management
apc-agent,management
apc-necmp,management
apcupsd,management
apdap,management
apertus-ldp,other
apex-edge,middleware
apex-mesh,middleware
aplx,other
apm-link,management
apocd,management
apogeex-port,other
apollo-admin,management
apollo-cc,other
apollo-data,other
apollo-gms,other
apollo-relay,other
apollo-status,management
apparenet-as,management
apparenet-tps,management
apparenet-ts,management
apparenet-ui,management
appiq-mgmt,management
apple-imap-admin,management
apple-iphoto,files
apple-licman,licensing
apple-sasl,identity
apple-vpns-rp,management
apple-xsrvr-admin,management
appleqtc,media
appleqtcsrvr,other
appleugcontrol,other
appliance-cfg,management
applix,other
applus,other
applusservice,other
appman-server,management
appserv-http,management
appserv-https,management
appss-lm,licensing
appswitch-emp,other
appworxsrv,other
apri-lm,management
aprigo-cs,other
apsolab-col,other
apsolab-cols,other
apsolab-data,other
apsolab-rpc,management
apsolab-tag,other
apsolab-tags,other
apt-cacher,other
apw-registry,middleware
apwi-disc,discovery
apwi-imserver,printing
apwi-rxserver,printing
apwi-rxspooler,printing
apx500api-1,other
apx500api-2,other
arbortext-lm,licensing
arca-api,other
arcisdms,other
arcp,other
arcpd,other
arcserve,storage
ardt,other
ardus-cntl,other
ardus-mtrns,other
ardus-trns,other
ardusmul,other
ardusuni,other
areaguard-neo,web
arena-server,other
arepa-cas,other
arepa-raft,other
argis-ds,other
argis-te,other
aria,other
ariel1,files
ariel2,files
ariel3,files
aries-kfinder,other
ariliamulti,other
aritts,media
arkivio,storage
armadp,other
armagetronad,gaming
armcenterhttp,web
armcenterhttps,web
armi-server,other
armtechdaemon,other
arns,other
array-manager,management
ars-master,other
ars-vista,other
artifact-msg,other
aruba-papi,management
aruba-server,other
as-debug,development
as-servermap,discovery
asa,other
asa-gateways,vpn
asam,other
asap-tcp,other
asap-tcp-tls,other
asc-slmd,licensing
asci-val,other
ascomalarm,other
asctrl-agent,other
asdis,management
asf-rmcp,management
asgcypresstcps,other
asgenf,middleware
asi,other
asihpi,media
asip-webadmin,management
asipregistry,other
asmgcs,other
asmp,management
asmps,management
asnaacceler8db,other
asoki-sma,other
aspcoordination,other
aspeclmd,other
aspen-services,other
aspentec-lm,licensing
asprovatalk,other
asr,storage
assoc-disc,discovery
assuria-ins,security
assuria-slm,management
assyst-dr,other
astergate-disc,discovery
asterix,other
astrolink,other
astromed-main,other
at-3,other
at-5,other
at-7,other
at-8,other
at-echo,management
at-nbp,discovery
at-rtmp,network
at-zis,network
atc-appserver,middleware
atc-lm,licensing
atex_elmd,licensing
athand-mmp,other
ati-ip-to-ncpe,other
atlinks,discovery
atls,licensing
atm-uhas,network
atm-zip-office,network
atmp,vpn
atmtcp,network
ats,other
atsc-mh-ssc,media
att-mt-sms,chat
attachmate-g32,other
attachmate-s2s,other
attachmate-uts,other
attune,other
atul,other
audio-activmail,media
audiojuggler,other
audionews,media
audit,management
audit-transfer,management
auditd,management
aura,other
auriga-router,other
auris,other
aurora,management
aurora-balaena,other
aurora-cmgr,other
aurp,network
auth,identity
authentx,other
authoritygate,other
autobuild,development
autocueds,identity
autocuelog,management
autocuesmi,other
autocuetime,network
autodesk-lm,licensing
autodesk-nlm,other
autonoc,management
autopac,other
autopassdaemon,licensing
autotrac-acp,other
av-emb-config,management
availant-mgr,other
avantageb2b,other
avanti_cdp,other
avauthsrvprtcl,identity
avdecc,media
avenue,other
avenyo,other
avesterra,other
avi-nms,management
avian,other
avinstalldisc,discovery
aviva-sna,other
avocent-adsap,identity
avocent-proxy,other
avocentkvm,remote
avsecuremgmt,management
avt-profile-1,media
avt-profile-2,media
avtp,media
awacs-ice,network
awg-proxy,other
aws-as2,remote
aws-brf,other
aws-wsp,remote
axio-disc,discovery
axis-wimp-port,other
axon-lm,licensing
axon-tunnel,vpn
axysbridge,other
ayiya,vpn
azeti,other
azeti-bd,other
aztec,other
b-novative-ls,licensing
b2-license,licensing
b2-runtime,other
b2n,storage
babel,network
backburner,other
backroomnet,other
backup-express,storage
backupedge,storage
backupexec,storage
bacnet,industrial
bacula-dir,storage
bacula-fd,storage
bacula-sd,storage
badm_priv,management
badm_pub,management
bakbonenetvault,storage
balour,gaming
bandwiz-system,other
banyan-net,other
banyan-rpc,middleware
banyan-vip,other
barracuda-bbs,storage
base,other
batman,network
bb,management
bbars,other
bbn-mmc,media
bbn-mmx,media
bccp,other
bcinameservice,discovery
bcs,other
bcs-broker,other
bcs-lmserver,other
bcslogc,management
bctp,other
bctp-server,other
bdir_priv,other
bdir_pub,other
bdp,discovery
beacon-port,other
beacon-port-2,other
bears-01,other
bears-02,other
beeyond,other
beeyond-media,other
beorl,other
beserver-msg-q,storage
bess,other
bex-webadmin,management
bex-xr,storage
beyond-remote,other
bf-game,gaming
bf-master,gaming
bfd-control,network
bfd-echo,network
bfd-lag,network
bfd-multi-ctl,network
bflckmgr,management
bftp,files
bgmp,network
bgp,network
bgpd,management
bgs-nsi,other
bh611,other
bhevent,other
bhfhs,other
bhmds,other
biap-mp,other
bif-p2p,other
biff,email
bigbrother,management
biimenu,other
bilobit,other
bim-pem,other
binderysupport,other
bingbang,industrial
binkp,chat
bintec-admin,management
bintec-capi,other
bintec-tapi,other
biolink-auth,identity
bioserver,identity
biotic,industrial
bip,other
bis-sync,other
bis-web,other
bitcoin,other
bitforestsrv,other
bitspeer,files
bittorrent-tracker,files
bl-idm,database
blackboard,other
blackice-alerts,security
blackice-icecap,security
blackjack,gaming
blaze,files
blizwow,gaming
blockade,other
blockade-bpsp,other
blocks,other
blp2,other
blp3,other
blp4,other
blp5,other
blueberry-lm,licensing
bluectrlproxy,other
bluelance,other
blwnkl-port,other
bmap,other
bmc-ar,other
bmc-data-coll,management
bmc-ea,other
bmc-gms,management
bmc-grx,other
bmc-jmx-port,management
bmc-messaging,middleware
bmc-net-adm,management
bmc-net-svc,other
bmc-onekey,other
bmc-perf-agent,management
bmc-perf-mgrd,management
bmc-perf-sd,management
bmc-reporting,management
bmc_ctd_ldap,identity
bmc_patroldb,management
bmcpatrolagent,management
bmcpatrolrnvu,discovery
bmdss,media
bmpp,email
bnet,other
bnetfile,files
bnetgame,gaming
bngsync,network
bnt-manager,management
bo2k,remote
board-roar,other
board-voip,other
boe-cachesvr,other
boe-cms,other
